type,src,dst,cidx,didx,period,error,cktElement,cktTerminal,cktPhase,cktProperty
SmartMeter,6070,1,0,0,15000,1.667e-05,Load.6070,BUS1,PHASE_2,None
SmartMeter,6071,1,0,0,15000,1.667e-05,Load.6071,BUS1,PHASE_3,None
SmartMeter,6072,1,0,0,15000,1.667e-05,Load.6072,BUS1,PHASE_3,None
SmartMeter,6073,1,0,0,15000,1.667e-05,Load.6073,BUS1,PHASE_3,None
SmartMeter,6074,1,0,0,15000,1.667e-05,Load.6074,BUS1,PHASE_3,None
SmartMeter,6075,1,0,0,15000,1.667e-05,Load.6075,BUS1,PHASE_1,None
SmartMeter,6076,1,0,0,15000,1.667e-05,Load.6076,BUS1,PHASE_1,None
SmartMeter,6077,1,0,0,15000,1.667e-05,Load.6077,BUS1,PHASE_1,None
SmartMeter,6078,1,0,0,15000,1.667e-05,Load.6078,BUS1,PHASE_2,None
SmartMeter,6079,1,0,0,15000,1.667e-05,Load.6079,BUS1,PHASE_3,None
SmartMeter,6080,1,0,0,15000,1.667e-05,Load.6080,BUS1,PHASE_1,None
SmartMeter,6081,1,0,0,15000,1.667e-05,Load.6081,BUS1,PHASE_2,None
SmartMeter,6082,1,0,0,15000,1.667e-05,Load.6082,BUS1,PHASE_3,None
SmartMeter,6083,1,0,0,15000,1.667e-05,Load.6083,BUS1,PHASE_3,None
SmartMeter,6084,1,0,0,15000,1.667e-05,Load.6084,BUS1,PHASE_1,None
SmartMeter,6085,1,0,0,15000,1.667e-05,Load.6085,BUS1,PHASE_1,None
SmartMeter,6086,1,0,0,15000,1.667e-05,Load.6086,BUS1,PHASE_1,None
SmartMeter,6087,1,0,0,15000,1.667e-05,Load.6087,BUS1,PHASE_3,None
SmartMeter,6088,1,0,0,15000,1.667e-05,Load.6088,BUS1,PHASE_3,None
SmartMeter,6089,1,0,0,15000,1.667e-05,Load.6089,BUS1,PHASE_1,None
SmartMeter,6090,1,0,0,15000,1.667e-05,Load.6090,BUS1,PHASE_2,None
SmartMeter,6091,1,0,0,15000,1.667e-05,Load.6091,BUS1,PHASE_2,None
SmartMeter,6092,1,0,0,15000,1.667e-05,Load.6092,BUS1,PHASE_2,None
SmartMeter,6093,1,0,0,15000,1.667e-05,Load.6093,BUS1,PHASE_2,None
SmartMeter,6094,1,0,0,15000,1.667e-05,Load.6094,BUS1,PHASE_3,None
SmartMeter,6095,1,0,0,15000,1.667e-05,Load.6095,BUS1,PHASE_2,None
SmartMeter,6096,1,0,0,15000,1.667e-05,Load.6096,BUS1,PHASE_2,None
SmartMeter,6097,1,0,0,15000,1.667e-05,Load.6097,BUS1,PHASE_3,None
